Theme,Count
progress,7
transition,7
plan,7
challenges,7
supply,6
management,6
contract,5
international,4
ghscpsm,4
project,3
year,3
quarter,3
united,3
states,3
chemonics,3
aidoaato,3
report,2
views,2
publication,2
agency,2
development,2
inc,2
contents,2
ii,2
acronyms,2
global,2
assistance,2
pl,2
logistics,2
antiretroviral,2
carhs,2
Analyze,1
the,1
following,1
and,1
extract,1
key,1
themes:,1
january,1
march,1
april,1
disclaimer,1
authors,1
expressed,1
necessarily,1
reflect,1
government,1
produced,1
review,1
prepared,1
aidoaai,1
recommended,1
citation,1
single,1
award,1
idiq,1
washington,1
dc,1
contact,1
anthony,1
savelli,1
director,1
crystal,1
drive,1
suite,1
arlington,1
va,1
p,1
asavellighscpsmorg,1
iii,1
executive,1
overview,1
organization,1
b,1
c,1
family,1
planningreproductive,1
health,1
e,1
country,1
programs,1
technical,1
f,1
collaboration,1
g,1
thirdparty,1
fourthparty,1
act,1
artemisininbased,1
combination,1
therapy,1
aids,1
acquired,1
immune,1
deficiency,1
syndrome,1
art,1
treatment,1
arv,1
medicine,1
bia,1
business,1
intelligence,1
analytics,1
coordinated,1
supplies,1
group,1
cor,1
contracting,1
officers,1
representative,1
dsip,1
demand,1
inventory,1
planning,1
tool,1
far,1
federal,1
acquisition,1
regulations,1
fbpa,1
freight,1
bill,1
payment,1
audit,1
fda,1
us,1
food,1
drug,1
administration,1
fmis,1
financial,1
information,1
system,1
